CERT,NAME,CITY,STALP,ASSET
59205,Nelnet Bank,Draper,UT,2515559
6158,Peoples Bank,Bellingham,WA,2513864
27046,Community National Bank & Trust,Chanute,KS,2507344
5551,"Extraco Banks, National Association",Temple,TX,2495690
30953,"El Dorado Savings Bank, F.S.B.",Placerville,CA,2472114
22373,American National Bank & Trust,Wichita Falls,TX,2470409
19559,TexasBank,Fort Worth,TX,2469605
11112,Somerset Trust Company,Somerset,PA,2460076
12769,First United Bank,Dimmitt,TX,2449456
34908,Cogent Bank,Orlando,FL,2444828
3256,"Horizon Bank, SSB",Austin,TX,2435028
58892,Guaranty Bank,Springfield,MO,2423392
7493,The Ephrata National Bank,Ephrata,PA,2423035
2711,"Traditional Bank, Inc.",Mount Sterling,KY,2408557
58140,"Esquire Bank, National Association",Jericho,NY,2405103
34047,First Community Bank,Lexington,SC,2401075
90282,Cornerstone Bank,Spencer,MA,2396023
35274,"Blue Ridge Bank,  National Association",Martinsville,VA,2395630
57103,"Schaumburg Bank & Trust Company, National Association",Schaumburg,IL,2394258
23799,Texas First Bank,Texas City,TX,2375423
